STATUS,CLK,DOUT,D0,D1,D2,D3,D4,D5,D6,D7,A0,t
1,1,0,0,0,1,1,0,0,1,1,-0.001286,0.153500
1,1,0,0,0,1,1,0,0,1,1,-0.001286,0.153600
1,1,0,0,0,1,1,0,0,1,1,-0.001608,0.153700
1,1,0,0,0,1,1,0,0,1,1,-0.001608,0.153800
1,1,0,0,0,1,1,0,0,1,1,-0.001286,0.153900
1,1,0,0,0,1,1,0,0,1,1,-0.001930,0.154000
1,1,0,0,0,1,1,0,0,1,1,-0.001286,0.154100
1,1,0,0,0,1,1,0,0,1,1,-0.001930,0.154200
1,1,0,0,0,1,1,0,0,1,1,-0.001608,0.154300
1,1,0,0,0,1,1,0,0,1,1,-0.001286,0.154400
1,1,0,0,0,1,1,0,0,1,1,-0.002252,0.154500
1,1,0,0,0,1,1,0,0,1,1,-0.001286,0.154600
1,1,0,0,0,1,1,0,0,1,1,-0.001608,0.154700
1,1,0,0,0,1,1,0,0,1,1,-0.001608,0.154800
1,1,0,0,0,1,1,0,0,1,1,-0.001286,0.154900
1,0,0,0,0,1,1,0,0,1,1,-0.001608,0.155000
1,0,0,0,0,1,1,0,0,1,1,-0.001608,0.155100
1,0,0,0,0,1,1,0,0,1,1,-0.001608,0.155200
1,0,0,0,0,1,1,0,0,1,1,-0.001930,0.155300
1,0,0,0,0,1,1,0,0,1,1,-0.001286,0.155400
1,0,0,0,0,1,1,0,0,1,1,-0.001608,0.155500
1,0,0,0,0,1,1,0,0,1,1,-0.001286,0.155600
1,0,0,0,0,1,1,0,0,1,1,-0.001608,0.155700
1,0,0,0,0,1,1,0,0,1,1,-0.001930,0.155800
1,0,0,0,0,1,1,0,0,1,1,-0.001608,0.155900
1,0,0,0,0,1,1,0,0,1,1,-0.001286,0.156000
1,0,0,0,0,1,1,0,0,1,1,-0.000964,0.156100
1,0,0,0,0,1,1,0,0,1,1,-0.001930,0.156200
1,0,0,0,0,1,1,0,0,1,1,-0.001608,0.156300
1,0,0,0,0,1,1,0,0,1,1,-0.001930,0.156400
1,0,0,0,0,1,1,0,0,1,1,-0.001608,0.156500
